Filename,Latitude,Longitude,SizeX_m,SizeY_m,PixelScale_m,OMAT_mean,Slope_mean,Height_mean
quickmap-region-data (23).csv,-19.891294,-60.449075,18688.784941,18791.622102,1174.476381,-inf,16.2675,-741.1010000000001
quickmap-region-data (24).csv,-55.582969,-42.12987,4035.535317,4057.748538,253.609284,0.25898699999999997,16.467,-1596.12
quickmap-region-data (25).csv,14.834807,-48.217851,804.947151,809.390862,50.586929,0.240909,15.8455,-2799.48
quickmap-region-data (26).csv,76.817498,-36.269526,17565.126345,17661.880696,1103.867544,0.29514,20.0506,-2093.67
quickmap-region-data (27).csv,-48.219059,-24.26504,41634.326436,41863.647348,2616.477959,0.16785899999999998,8.013739999999999,41.9418
quickmap-region-data (28).csv,-19.253447,-13.831888,11914.761322,13865.396521,866.587283,0.16927799999999998,4.784009999999999,-1658.84
quickmap-region-data (29).csv,29.751556,-11.015761,30321.862395,30488.858248,1905.55364,0.186344,11.0277,-2630.45
quickmap-region-data (30).csv,-64.533239,-3.674173,14033.045486,14110.325873,881.895367,0.195473,17.3026,-1046.15
quickmap-region-data (31).csv,-11.5718,2.150736,11708.154799,11772.624076,735.789005,0.241869,18.8468,-1320.0
quickmap-region-data (32).csv,12.196019,8.458131,20093.091585,45881.84803,2867.615502,0.15440399999999999,2.37544,-686.3330000000001
quickmap-region-data (33).csv,31.087834,12.588423,9320.986522,9372.329785,585.770612,0.28165500000000004,18.0093,-1335.8
quickmap-region-data (34).csv,-50.561801,6.078702,4330.21998,4354.068101,272.129256,0.297346,18.3093,-1743.74
quickmap-region-data (35).csv,-47.35221,16.338027,11484.800692,11548.020284,721.751268,0.27715100000000004,16.6592,-1894.87
quickmap-region-data (36).csv,-20.61743,20.584397,22278.393621,22401.098663,1400.068666,0.203528,11.1519,-1737.91
quickmap-region-data (37).csv,-44.222038,25.462334,54153.801987,54452.07987,3403.254992,0.19136199999999998,0.901697,-1300.84
quickmap-region-data (38).csv,-43.330557,33.39702,3304.767594,3322.953526,207.684595,0.24020300000000003,14.87,-2176.72
quickmap-region-data (39).csv,-26.666859,47.018842,43074.578588,63125.079796,3945.317487,0.16356500000000002,3.56512,-2153.96
quickmap-region-data (40).csv,35.348165,42.741168,9323.994811,9375.362109,585.960132,0.244846,17.2005,-1983.83
quickmap-region-data (41).csv,37.426446,52.920875,14143.968667,36906.515303,2306.657206,-inf,0.687869,-2540.9
quickmap-region-data (42).csv,39.269845,-45.971482,2830.822675,4719.529267,294.970579,0.185937,5.90877,-2094.4
quickmap-region-data (43).csv,-18.823628,63.291329,42915.348389,43151.716715,2696.982295,-inf,4.57759,-2571.32
